,Product,Price,Offer
0," JioBook 11(2023) Ultimate Learning Partner, NB1112MM(BLU) (4G LTE/MediaTek 2.0 GHz Octa-Core/4 GB LPDDR4/64 GB eMMC/JioOS/Expandable 256 GB), 29.46 cm (11.6 inch) ","<span class=""jm-heading-xxs jm-mb-xxs"">₹15,499.00</span>","<span class=""jm-badge""> 38% OFF </span>"
1," HP Victus 15-FA1313TX Gaming Laptop (Intel Core i5 12450H/16 GB/512 GB SSD/NVIDIA GeForce RTX-2050/Windows 11 Home/Full HD), 39.62 cm (15.6 inch), Mica Silver ","<span class=""jm-heading-xxs jm-mb-xxs"">₹58,999.00</span>","<span class=""jm-badge""> 17% OFF </span>"
2," HP Victus 15-fb0178AX Gaming Laptop (AMD Ryzen 5 5600H/16 GB/512 GB SSD/NVIDIA GeForce RTX-3050/Windows 11 Home/Full HD), 39.62 cm (15.6 inch), Performance Blue ","<span class=""jm-heading-xxs jm-mb-xxs"">₹63,999.00</span>","<span class=""jm-badge""> 10% OFF </span>"
3," Apple MGN63HNA MacBook Air (Apple M1 Chip/8GB/256GB SSD/macOS Big Sur/Retina), 33.78 cm (13.3 inch) ","<span class=""jm-heading-xxs jm-mb-xxs"">₹71,990.00</span>","<span class=""jm-badge""> 19% OFF </span>"
4," Asus TUF A15 FA506NFR-HN259WS Gaming Laptop (AMD Ryzen 7 7435HS/16 GB/512 GB SSD/NVIDIA GeForce RTX 2050/Win11 Home/MSOffice/Full HD), 39.62 cm (15.6 inch), Graphite Black ","<span class=""jm-heading-xxs jm-mb-xxs"">₹62,999.00</span>","<span class=""jm-badge""> 24% OFF </span>"
5," Acer Aspire Lite AL15-52 Standard Laptop (Intel Core i3-1215U processor/DDR4 8GB/512 GB /Intel UHD Graphics/Windows 11 Home/Office Home and Student 2021/Full HD), 39.62 cm (15.6 inch), Steel Grey ","<span class=""jm-heading-xxs jm-mb-xxs"">₹30,990.00</span>","<span class=""jm-badge""> 29% OFF </span>"
6," Dell Inspiron 15 3520 Notebook Laptop (Intel Core-i3 1215U/8 GB/512 GB SSD/Integrated Graphics/Windows 11/MSO/FHD), 39.62 cm (15.6 inch) ","<span class=""jm-heading-xxs jm-mb-xxs"">₹36,999.00</span>","<span class=""jm-badge""> 17% OFF </span>"
7," HP 15s-fr5012TU Standard Laptop (Intel Core i3-1215U/8 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home/MSO/FHD), 39.6cm (15.6 inch) ","<span class=""jm-heading-xxs jm-mb-xxs"">₹34,990.00</span>","<span class=""jm-badge""> 35% OFF </span>"
8," Dell Inspiron 15 3520 Notebook Laptop (Intel Core-i5 1235U/8 GB/512 GB SSD/Integrated Graphics/Windows 11/MSO/FHD), 39.62 cm (15.6 inch) ","<span class=""jm-heading-xxs jm-mb-xxs"">₹49,999.00</span>","<span class=""jm-badge""> 24% OFF </span>"
9," Apple MLXW3HNA MacBook Air (Apple M2 Chip/8GB/256GB SSD/macOS Monterey/Liquid Retina), 34.46 cm (13.6-inch), Space Grey ","<span class=""jm-heading-xxs jm-mb-xxs"">₹87,990.00</span>","<span class=""jm-badge""> 11% OFF </span>"
10, Walker NU14A1 14.1 inches Gemini Celeron N 4020 4 GB RAM 128 GB SSD Windows 11 Home SL- Colour Silver Laptop (1 Year Warranty) ,"<span class=""jm-heading-xxs jm-mb-xxs"">₹12,990.00</span>","<span class=""jm-badge""> 56% OFF </span>"
11," Dell Inspiron 3520 Laptop, Intel Core i3-1215U Processor, 8GB, 512GB, 15.6"" (39.62cm) FHD AG 120Hz 250 nits Display, Win 11 + MSO'21, 15 Month McAfee Antivirus, Black, Thin & Light- 1.65kg ","<span class=""jm-heading-xxs jm-mb-xxs"">₹38,990.00</span>",No Offer
